prospect_quality,name,phone,website,has_website,location,work,url
COLD,Alpi Electric LLC,,,No,,,https://www.facebook.com/groups/474991979649636/user/61586600784248/
COLD,Holeshot Electric LLC,,,No,,,https://www.facebook.com/groups/474991979649636/user/61559167406061/
COLD,Dusty Grimes Electrical,,,No,,,https://www.facebook.com/groups/474991979649636/user/61569901903647/
COLD,"Dunhill Engineers, LLC",,,No,,,https://www.facebook.com/groups/474991979649636/user/100090005670477/
COLD,RM Electric,,,No,,,https://www.facebook.com/groups/474991979649636/user/100067127777284/
COLD,Innovated Electrical LLC,,,No,,,https://www.facebook.com/groups/474991979649636/user/61584578306967/
COLD,king mole tunneling specialist LLC,,,No,,,https://www.facebook.com/groups/474991979649636/user/61554899197677/
COLD,R Electrical Solutions,,,No,,,https://www.facebook.com/groups/474991979649636/user/100062952024147/
COLD,MTZ Electric,,,No,,,https://www.facebook.com/groups/474991979649636/user/61583545016851/
COLD,I²T Inspections and Electrical Services,,,No,,,https://www.facebook.com/groups/474991979649636/user/100094518402256/
COLD,Elliott Electrical Services,,,No,,,https://www.facebook.com/groups/474991979649636/user/100063839221733/
COLD,LOWER VALLY Electric,,,No,,,https://www.facebook.com/groups/474991979649636/user/61578568232722/
COLD,1st Electric Response Inc.,,,No,,,https://www.facebook.com/groups/474991979649636/user/100067004346793/
COLD,Ignitech Solution,,,No,,,https://www.facebook.com/groups/474991979649636/user/61577338930449/
COLD,ChargePlus LLC,,,No,,,https://www.facebook.com/groups/474991979649636/user/61572264938818/
COLD,Scale and Change Construction Staffing,,,No,,,https://www.facebook.com/groups/474991979649636/user/100063661006338/
COLD,LJ BullDog Electric LLC,,,No,,,https://www.facebook.com/groups/474991979649636/user/100083460094080/
COLD,N5 Electric LLC,,,No,,,https://www.facebook.com/groups/474991979649636/user/61564052971255/
COLD,Rex Pro,,,No,,,https://www.facebook.com/groups/474991979649636/user/100031797742184/
COLD,Wit Pro,,,No,,,https://www.facebook.com/groups/474991979649636/user/100004228543361/
COLD,"AStar Air Conditioning, Plumbing & Electric",,,No,,,https://www.facebook.com/groups/474991979649636/user/100063914109110/
COLD,Brothers Jordan,,,No,,,https://www.facebook.com/groups/474991979649636/user/100011390392508/
COLD,"Wise Electrical Solutions, LLC",,,No,,,https://www.facebook.com/groups/474991979649636/user/100093243322580/
COLD,All Tapz Electric,,,No,,,https://www.facebook.com/groups/474991979649636/user/100062942544570/
COLD,Gravity Electric Plumbing Heating & Air,,,No,,,https://www.facebook.com/groups/474991979649636/user/100049703089677/
COLD,W3 Electric,,,No,,,https://www.facebook.com/groups/474991979649636/user/100064036447313/
COLD,A and M Electrical LLC,,,No,,,https://www.facebook.com/groups/474991979649636/user/100087220802370/
COLD,Knights electric,,,No,,,https://www.facebook.com/groups/474991979649636/user/100047779814358/
COLD,Construction Solutions Group,,,No,,,https://www.facebook.com/groups/474991979649636/user/100066696684709/
COLD,"Green-Energy-Products.com, LLC",,,No,,,https://www.facebook.com/groups/474991979649636/user/100063773973917/
COLD,Service Electrician,,,No,,,https://www.facebook.com/groups/474991979649636/user/100086775443885/
COLD,"A/D Electrical Services, LLC.",,,No,,,https://www.facebook.com/groups/474991979649636/user/100067215804514/
COLD,PDQ Staffing Inc,,,No,,,https://www.facebook.com/groups/474991979649636/user/100059348116273/
COLD,Vibaldon Electrical Supply,,,No,,,https://www.facebook.com/groups/474991979649636/user/100083547723209/
COLD,Electric Pros,,,No,,,https://www.facebook.com/groups/474991979649636/user/100068239684395/
COLD,3rd Rock Electrical Contractors,,,No,,,https://www.facebook.com/groups/474991979649636/user/100063457753610/
COLD,High Access Solutions,,,No,,,https://www.facebook.com/groups/474991979649636/user/100063769770824/
COLD,Wellott Electric,,,No,,,https://www.facebook.com/groups/474991979649636/user/100083112823373/
COLD,City of Dallas - Civil Service,,,No,,,https://www.facebook.com/groups/474991979649636/user/100064569256583/
