prospect_quality,name,phone,website,has_website,location,work,url
HOT,Dusty Grimes Electrical,(682) 262-9042,,No,"2
Dusty Grimes Electrical",,https://www.facebook.com/profile.php?id=61569901903647
HOT,Innovated Electrical LLC,(817) 233-7677,,No,"2
Innovated Electrical",,https://www.facebook.com/profile.php?id=61584578306967
HOT,king mole tunneling specialist LLC,214-240-1384,,No,"40 following
Message
Follow
Search
More
Posts
About
Mentions
Reviews
Reels
Photos
More
Intro
excavac",,https://www.facebook.com/profile.php?id=61554899197677
HOT,R Electrical Solutions,(469) 219-1042,,No,"2
R Electrical Solut",,https://www.facebook.com/profile.php?id=100062952024147
HOT,MTZ Electric,(682) 405-9683,,No,"1 following
Message
Follow
Search
More
Posts
About
Mentions
Reviews
Reels
Photos
More
Intro
Safe, de",,https://www.facebook.com/profile.php?id=61583545016851
HOT,LOWER VALLY Electric,(254) 302-9070,,No,"30 following
Message
Follow
Search
More
Posts
About
Mentions
Reviews
Reels
Photos
More
Intro
In Buis",,https://www.facebook.com/profile.php?id=61578568232722
HOT,Ignitech Solution,663 168 2477,,No,"0 following
Message
Follow
Search
More
Posts
About
Mentions
Reviews
Reels
Photos
More
Intro
Le brind",,https://www.facebook.com/profile.php?id=61577338930449
HOT,LJ BullDog Electric LLC,(678) 396-5925,,No,"81 following
Message
Follow
Search
More
Posts
About
Mentions
Reviews
Reels
Photos
More
Intro
Electri",,https://www.facebook.com/profile.php?id=100083460094080
HOT,Knights electric,469-845-6216,,No,"54 following
Message
Follow
Search
More
Posts
About
Mentions
Reviews
Followers
Photos
More
Intro
Whe",,https://www.facebook.com/profile.php?id=100047779814358
HOT,"A/D Electrical Services, LLC.",(409) 540-4791,,No,"those around us. It was a pleasure assisting with this project, we appreciate the opportunity",,https://www.facebook.com/profile.php?id=100067215804514
WARM,Alpi Electric LLC,817-822-8952,http://www.alpielectric.com/,Yes,"1 following
Message
Follow
Search
More
Posts
About
Mentions
Reviews
Reels
Photos
More
Intro
Alpi Ele",,https://www.facebook.com/profile.php?id=61586600784248
WARM,Holeshot Electric LLC,(512) 595-9612,http://www.holeshotelec.com/,Yes,"1 following
Call now
Follow
Message
More
Posts
About
Mentions
Reviews
Followers
Photos
More
Intro
Sp",,https://www.facebook.com/profile.php?id=61559167406061
WARM,RM Electric,972-345-4984,http://www.rmelectricservices.com/,Yes,"5 following
Call now
Message
Follow
More
Posts
About
Mentions
Reviews
Followers
Photos
More
Intro
El",,https://www.facebook.com/profile.php?id=100067127777284
WARM,I²T Inspections and Electrical Services,706.438.2136,https://inspectionselectrical.com/,Yes,our customers! Explore the possibilities!!! Call us today or reach out online so we can help you aut,,https://www.facebook.com/profile.php?id=100094518402256
WARM,Elliott Electrical Services,281-541-9430,https://share.google/rDDwXz5HlZEejVD2d,Yes,Elliott Electrical Services! ⚡️,,https://www.facebook.com/profile.php?id=100063839221733
WARM,1st Electric Response Inc.,(904) 226-6788,https://www.1stelectricresponse.org/,Yes,"2
1st Electric Response Inc",,https://www.facebook.com/profile.php?id=100067004346793
WARM,ChargePlus LLC,469-885-1211,https://api.whatsapp.com/send,Yes,"0 following
WhatsApp
Message
Follow
More
Posts
About
Mentions
Reviews
Reels
Photos
More
Intro
Charge",,https://www.facebook.com/profile.php?id=61572264938818
WARM,Scale and Change Construction Staffing,(469) 314-1346,http://www.scaleandchange.com/,Yes,"2
Scale and Change Construction Staffin",,https://www.facebook.com/profile.php?id=100063661006338
WARM,N5 Electric LLC,(325) 341-0312,https://www.n5electric.com/,Yes,the N5 Electric Family to Yours…**,,https://www.facebook.com/profile.php?id=61564052971255
WARM,"AStar Air Conditioning, Plumbing & Electric",(972) 797-9964,http://www.astardfw.com/,Yes,"getting stuck to losing windshield wipers on the highway, nothing stops our team from servicing our ",,https://www.facebook.com/profile.php?id=100063914109110
WARM,Brothers Jordan,817-424-8429,http://hecelectric.com/,Yes,"2
Brothers Jordan 
35 friends
Add friend
Message
More
Posts
About
Friend",,https://www.facebook.com/profile.php?id=100011390392508
WARM,"Wise Electrical Solutions, LLC",(512) 792-8664,https://api.whatsapp.com/send,Yes,"2
Wise Electrical Solut",,https://www.facebook.com/profile.php?id=100093243322580
WARM,All Tapz Electric,469-298-8420,https://support.alltapz.com/support/tickets/new,Yes,"527 following
Contact us
Message
Follow
More
Posts
About
Mentions
Reviews
Reels
Photos
More
In",,https://www.facebook.com/profile.php?id=100062942544570
WARM,Gravity Electric Plumbing Heating & Air,(469) 833-2891,http://Gravity-electric.com/,Yes,"2
Gravity Electric Plumbing Heatin",,https://www.facebook.com/profile.php?id=100049703089677
WARM,W3 Electric,972-793-0733,https://callw3.com/,Yes,W3 Electric — Let’s SPREAD THE LOVE!,,https://www.facebook.com/profile.php?id=100064036447313
WARM,A and M Electrical LLC,(903) 519-1239,https://api.whatsapp.com/send,Yes,us.,,https://www.facebook.com/profile.php?id=100087220802370
WARM,Construction Solutions Group,(972) 922-8994,http://www.csg-usa.com/,Yes,all of us at CSG!,,https://www.facebook.com/profile.php?id=100066696684709
WARM,"Green-Energy-Products.com, LLC",(305) 251-9630,https://api.whatsapp.com/send,Yes,"118 following
WhatsApp
Message
Follow
More
Posts
About
Mentions
Reviews
Reels
Photos
More
In",,https://www.facebook.com/profile.php?id=100063773973917
WARM,PDQ Staffing Inc,(817) 332-1985,https://www.pdqstaffing.com/contact-us/find-a-location,Yes,all of us at PDQ Staffing!,,https://www.facebook.com/profile.php?id=100059348116273
WARM,Electric Pros,(817) 229-2624,https://electric-pros.com/,Yes,"16 following
Call now
Message
Follow
More
Posts
About
Mentions
Reviews
Followers
Photos
More
Intro
D",,https://www.facebook.com/profile.php?id=100068239684395
WARM,3rd Rock Electrical Contractors,210-643-3397,https://www.3rdRockelectric.com/,Yes,"2
3rd Rock Electrical Contractor",,https://www.facebook.com/profile.php?id=100063457753610
WARM,High Access Solutions,(817) 243-6800,http://www.wereachhigh.com/,Yes,"154 following
Contact us
Message
Follow
More
Posts
About
Mentions
Reviews
Reels
Photos
More
Intro
Hi",,https://www.facebook.com/profile.php?id=100063769770824
WARM,Wellott Electric,(972) 214-8614,http://www.wellottelectric.com/,Yes,"252 following
Call now
Message
Follow
More
Posts
About
Mentions
Reviews
Reels
Photos
More
Intro
We a",,https://www.facebook.com/profile.php?id=100083112823373
WARM,City of Dallas - Civil Service,(214) 670-5915,https://x.com/CODCareers,Yes,the City of Dallas Civil Service Department—thank you for trusting us to serve our great city. … See,,https://www.facebook.com/profile.php?id=100064569256583
COLD,Rex Pro,,,No,"2
Rex Pro 
47 friends
Message
More
Posts
About
Friend",,https://www.facebook.com/profile.php?id=100031797742184
COLD,Wit Pro,,,No,"Limbe, Cameroon",,https://www.facebook.com/profile.php?id=100004228543361
LOW,"Dunhill Engineers, LLC",,https://dunhillengineers.com/,Yes,"3 following
Message
Follow
Search
More
Posts
About
Mentions
Reviews
Followers
Photos
More
Intro
Elec",,https://www.facebook.com/profile.php?id=100090005670477
